objectid,title,date,date_is_approximate,description,location,latitude,longitude,subject,source,identifier,donor,format_original,type,format,language,rights,rightsstatement,display_template,filename,object_location,image_small,image_thumb
cities40,"Moscow Public Library Moscow, Idaho.",1906,,,Moscow,46.733504,-116.998515,libraries (buildings);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-02c,Rosa Forney Harrison,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities40.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities40.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities40_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities40_th.jpg
cities42,"David's Department Store, 3rd and Main Street. Moscow, Idaho.",1900,,,Moscow,46.732254,-117.001326,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-03a,,6x7.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities42.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities42.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities42_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities42_th.jpg
cities45,"Exterior view of Russell School (1884-1912) after the annex was built in 1888. Moscow, Idaho..",1890-01-01,,Moscow's first public school,Moscow,46.734314,-116.997582,schools;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-04b,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities45.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities45.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities45_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities45_th.jpg
cities48,"Russell School (1884-1912). Moscow, Idaho.",1901,,Moscow's first public school,Moscow,46.734314,-116.997582,schools;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-04d,Mr. & Mrs. Darrel Parks,3.25x4.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities48.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities48.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities48_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities48_th.jpg
cities59,"Barton House. Hotel on corner of Main Street and 4th Street. Moscow, Idaho.",1883,,"Built by R.H. Barton, Moscow's first hotel proprietor",Moscow,46.731705,-117.001342,hotels (public accommodations); horses;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-07a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities59.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities59.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities59_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities59_th.jpg
cities61,"People standing on porch of Moscow City Hotel. Moscow, Idaho.",1880,yes,"Owned by Carter family. Right to left: William Carter, Mrs. William Carter, 2 not identified, Nettie Young, Viola Carter, George Carter, others not identified",Moscow,46.731822,-117.001981,hotels (public accommodations);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-08a,,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities61.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities61.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities61_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities61_th.jpg
cities64,"Latah County Courthouse (1889-1958). Moscow, Idaho.",1889,,Taken soon after courthouse built,Moscow,46.730778,-116.996809,courthouses;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-11a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities64.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities64.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities64_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities64_th.jpg
cities66,"Interior view of cigar store in Moscow Hotel. Moscow, Idaho.",1895,,,Moscow,46.731797,-117.001659,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-12b,,4x7.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities66.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities66.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities66_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities66_th.jpg
cities67,"Interior view of cigar store in Moscow Hotel. Moscow, Idaho.",1895,,,Moscow,46.731797,-117.001659,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-12c,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities67.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities67.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities67_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities67_th.jpg
cities69,"Interior view of Moscow Hotel (1891- ). Moscow, Idaho.",1894,yes,,Moscow,46.731797,-117.001659,department stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-12d,Grace C. Rubedew,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities69.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities69.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities69_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities69_th.jpg
cities70,"Sale held in front of old stable on northwest corner of 1st and Main Streets. Moscow, Idaho.",1890,yes,,Moscow,46.73372,-117.001289,stables (animal housing); horses; horse-drawn vehicles;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13a,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities70.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities70.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities70_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities70_th.jpg
cities73,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-3a,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities73.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities73.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities73_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities73_th.jpg
cities74,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-3b,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities74.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities74.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities74_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities74_th.jpg
cities75,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-4a,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities75.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities75.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities75_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities75_th.jpg
cities76,"4th of July parade on Main Street. Moscow, Idaho.",1920,yes,,Moscow,46.731951,-117.001337,parades; horse-drawn vehicles; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13b-4b,,2-3.5x5.75 black and white prints,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities76.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities76.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities76_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities76_th.jpg
cities77,"Corner of Third and Main Streets. Moscow, Idaho.",1884,,"Visible: W.W. Langdon Stage Office, Farm Machinery, Saloon.",Moscow,46.732326,-117.001326,hardware stores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13d,,4.5x8 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities77.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities77.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities77_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities77_th.jpg
cities78,"Corner of First and Main Streets. White's Drug Store, Justice of the Peace, W.J. McConnell & Co., Bank Exchange, Restaurant and Bakery. Moscow, Idaho.",1884,,,Moscow,46.73365,-117.00138,drugstores;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13c,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities78.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities78.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities78_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities78_th.jpg
cities81,"Main Street from intersection of Main and 5th. Moscow, Idaho.",1892,,,Moscow,46.731009,-117.001219,machinery shop; main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13f,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities81.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities81.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities81_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities81_th.jpg
cities84,"Main Street from intersection of A and Main Streets. Moscow, Idaho",1920,,"Visible: Hotel Idaho, Williamson's Dept. Store.",Moscow,46.734573,-117.001407,main street; hotels (public accommodations);,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13i,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities84.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities84.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities84_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities84_th.jpg
cities85,"Main Street from intersection of 8th and Main Streets. Moscow, Idaho.",1882,,,Moscow,46.728079,-117.001326,main street;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13k,,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities85.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities85.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities85_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities85_th.jpg
cities87,"Birdseye view of business district from corner of 6th and Jackson Streets. Moscow, Idaho.",1920,,"Postcard. Caption reads 'No. 21 Birds eye view business district. Moscow, Idaho.",Moscow,46.730025,-117.002689,aerial views; lumber yards;,"Idaho Cities and Towns Collection, Photo Group 5, Special Collections and Archives, University of Idaho Library, https://www.lib.uidaho.edu/special-collections/",5-001-13j,,3.5x5.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,image,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities87.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/cities87.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/small/cities87_sm.jpg,https://www.lib.uidaho.edu/collectionbuilder/demo-cities/thumbs/cities87_th.jpg
